antecedent,consequent,support,confidence,lift
"Rain_Low, Budget_High",Outcome_High_Affected,0.038081463174038405,0.4248275004610152,1.5276430490256947
"Rain_Med, Gust_High",Outcome_High_Affected,0.05259754292163307,0.42434575539966823,1.5259107353370316
"Gust_Med, Budget_Med",Outcome_High_Affected,0.027909009154592976,0.42052167477811936,1.5121596712602392
"Gust_Med, Super_Typhoon",Outcome_High_Damage,0.03688455318873777,0.423105746589008,1.5063703316107309
Gust_Med,Outcome_High_Affected,0.0961195430288032,0.41244089689722896,1.48310189099162
Rain_Med,Outcome_High_Affected,0.11163780763705737,0.4123018110055127,1.4826017501215794
"Rain_High, Budget_High",Outcome_High_Damage,0.05233134270219361,0.4157209328381035,1.4800784071249138
"Gust_Med, Var_Efficient",Outcome_High_Affected,0.07816286308550861,0.41156980597299964,1.4799695231622676
"Rain_Low, Super_Typhoon",Outcome_High_Damage,0.03370633587324361,0.41500887898108835,1.4775433037533243
"Rain_Med, Var_Efficient",Outcome_High_Affected,0.09186795422003262,0.4090443507061571,1.47088820385071
Budget_High,Outcome_High_Affected,0.12720528999941344,0.4087929280359028,1.4699841096144268
"Rain_High, Budget_Med",Outcome_High_Affected,0.028055778418808647,0.4082673840129535,1.468094298637632
"Budget_High, Var_Efficient",Outcome_High_Affected,0.11225967155965044,0.40755557107498375,1.4655346807086702
"Rain_High, Super_Typhoon",Outcome_High_Damage,0.032641986155197054,0.40966495173466616,1.4585174845031876
"Rain_High, Gust_Med",Outcome_High_Damage,0.04356309759550532,0.40691498419445205,1.4487268599397851
"Gust_Med, Budget_Med",Outcome_High_Damage,0.026503125367753105,0.39933838585121695,1.421752130688786
"Gust_High, Budget_High",Outcome_High_Damage,0.04460498697459035,0.3955514278889826,1.4082695411296609
"Budget_High, Super_Typhoon",Outcome_High_Affected,0.02460484457772393,0.3909771613375602,1.4059201492299132
"Rain_Low, Budget_Med",Outcome_High_Damage,0.033307069850203916,0.3941721376966361,1.4033588968257662
"Gust_Med, Budget_High",Outcome_High_Damage,0.02872921254583891,0.38732551914007857,1.3789830920804997
"Budget_Low, Super_Typhoon",Outcome_High_Affected,0.05864354603876614,0.38073646279997236,1.3690954805793738
Rain_High,Outcome_High_Affected,0.10698561335611174,0.37965773417834614,1.3652164654995496
"Rain_High, Var_Efficient",Outcome_High_Affected,0.09140944610411708,0.3749310653712011,1.3482197721582616
"Rain_Low, Gust_Med",Outcome_High_Damage,0.024768612588659783,0.37423352477390515,1.3323720685862355
Budget_Med,Outcome_High_Damage,0.08172406974841231,0.3719619650381315,1.3242847045642698
Rain_High,Outcome_High_Damage,0.10451529337989682,0.3708913584438494,1.3204730569479117
"Gust_Low, Var_Efficient",Outcome_High_Affected,0.09505993828254554,0.36285156741504787,1.3047829394004657
"Rain_High, Gust_High",Outcome_High_Affected,0.0440036716402745,0.3608734731012115,1.2976698828644124
"Gust_Low, Budget_Med",Outcome_High_Damage,0.03816321635445363,0.36386198923802,1.2954466107061282
Gust_Low,Outcome_High_Affected,0.10197444933391826,0.35939924668644185,1.2923686918333022
"Gust_Low, Budget_Low",Outcome_High_Damage,0.020145960411692993,0.3615049702548345,1.2870549887630616
"Rain_High, Var_Efficient",Outcome_High_Damage,0.0868701587034089,0.35631242218157855,1.2685681201112557
"Var_Efficient, Super_Typhoon",Outcome_High_Affected,0.08847279676005392,0.3526450913112008,1.268081331669872
"Rain_Med, Gust_Low",Outcome_High_Damage,0.02763653307205983,0.35559550483022934,1.2660157013908868
"Rain_Low, Gust_Low",Outcome_High_Damage,0.05344131397287889,0.35410239053593795,1.2606998126496989
Gust_Med,Outcome_High_Damage,0.08238797839156396,0.3535199048042047,1.2586260066757946
"Budget_Med, Var_Efficient",Outcome_High_Damage,0.05359933236106997,0.35079486099056684,1.2489241172869208
"Gust_Med, Var_Efficient",Outcome_High_Damage,0.06590689125022894,0.34703547661075046,1.2355396971022972
"Rain_Med, Gust_Med",Outcome_High_Damage,0.030977416859933597,0.34336861623035464,1.2224846872573172
"Gust_Low, Budget_Med",Outcome_High_Affected,0.03540838826156542,0.33759645594079546,1.2139677368673352
Gust_High,Outcome_High_Damage,0.10568441797193172,0.33749419606133285,1.2015701704270225
"Rain_High, Gust_Low",Outcome_High_Damage,0.025734407727401733,0.3361947295132462,1.1969437197802537
