antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Outcome_High_Mortality', 'Rain_High'})","frozenset({'Budget_Low', 'Outcome_High_Damage'})",0.10247349823321555,0.18021201413427562,0.03180212014134275,0.31034482758620685,1.7221095334685594,1.0,0.013335164629349843,1.1886925795053003,0.4671916010498686,0.1267605633802817,0.15873959571938162,0.24340770791075048
frozenset({'Outcome_High_Mortality'}),"frozenset({'Outcome_High_Damage', 'Rain_High'})",0.20848056537102475,0.2226148409893993,0.07773851590106007,0.37288135593220334,1.6750067258541832,1.0,0.03132764799160933,1.239614172476363,0.5091314935064934,0.21999999999999997,0.19329738058551613,0.3610438525692763
"frozenset({'Outcome_High_Damage', 'Rain_High'})",frozenset({'Outcome_High_Mortality'}),0.2226148409893993,0.20848056537102475,0.07773851590106007,0.3492063492063492,1.6750067258541832,1.0,0.03132764799160933,1.2162371800396448,0.5183884297520661,0.21999999999999997,0.17779195011337864,0.3610438525692763
frozenset({'Rain_High'}),"frozenset({'Outcome_High_Mortality', 'Inefficient_Spending', 'Outcome_High_Damage'})",0.49823321554770317,0.0636042402826855,0.053003533568904596,0.10638297872340426,1.6725768321513004,1.0,0.02131378841039344,1.0478714453979472,0.8014084507042255,0.10416666666666669,0.045684464070654365,0.4698581560283689
"frozenset({'Inefficient_Spending', 'Outcome_High_Damage', 'Rain_High'})",frozenset({'Outcome_High_Mortality'}),0.15547703180212014,0.20848056537102475,0.053003533568904596,0.34090909090909094,1.6352080123266564,1.0,0.020589594076589793,1.2009260387474108,0.45997210599721056,0.17045454545454544,0.16730925324675328,0.2975731895223421
frozenset({'Outcome_High_Mortality'}),"frozenset({'Inefficient_Spending', 'Outcome_High_Damage', 'Rain_High'})",0.20848056537102475,0.15547703180212014,0.053003533568904596,0.2542372881355932,1.6352080123266564,1.0,0.020589594076589793,1.1324285255380662,0.4907738095238095,0.17045454545454544,0.11694206084674845,0.2975731895223421
frozenset({'Outcome_High_Damage'}),"frozenset({'Outcome_High_Mortality', 'Budget_Low'})",0.38869257950530034,0.10600706713780919,0.06713780918727916,0.17272727272727276,1.6293939393939396,1.0,0.025933648815692545,1.0806507979652857,0.6318831761484637,0.15702479338842978,0.07463169241825371,0.40303030303030307
"frozenset({'Outcome_High_Mortality', 'Budget_Low'})",frozenset({'Outcome_High_Damage'}),0.10600706713780919,0.38869257950530034,0.06713780918727916,0.6333333333333334,1.6293939393939396,1.0,0.025933648815692545,1.6672020558946359,0.4320782192635739,0.15702479338842978,0.40019267822736043,0.40303030303030307
frozenset({'Outcome_High_Damage'}),frozenset({'Outcome_High_Mortality'}),0.38869257950530034,0.20848056537102475,0.13074204946996468,0.3363636363636364,1.613405238828968,1.0,0.04970720073917767,1.1927005179340724,0.6219340728011248,0.28030303030303033,0.1615665584415585,0.4817411402157165
frozenset({'Outcome_High_Mortality'}),frozenset({'Outcome_High_Damage'}),0.20848056537102475,0.38869257950530034,0.13074204946996468,0.6271186440677966,1.6134052388289677,1.0,0.04970720073917767,1.6394153549630581,0.4803330115830116,0.28030303030303033,0.3900264524346037,0.4817411402157165
"frozenset({'Outcome_High_Mortality', 'Budget_Low', 'Inefficient_Spending', 'Rain_High'})",frozenset({'Outcome_High_Damage'}),0.0176678445229682,0.38869257950530034,0.01060070671378092,0.6,1.5436363636363637,1.0,0.0037333466518498174,1.528268551236749,0.3585131894484413,0.026785714285714288,0.34566473988439306,0.3136363636363636
