Year,typhoon_key,region_key,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Cumulative_Budget_To_Date,Cumulative_Variance_To_Date,Variance_Ratio_To_Date,typhoon_name_info_infra,Region_info_infra,Date,Province,Location,infra_project_count,typhoon_name_impact,Region_impact,Category,Deaths,Injuries,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP),_merge,merge_source,has_infra_weather_data,has_impact_data
2024,BUTCHOY AND CARINA,REGION X,,,,,,,,,,,,Butchoy and Carina,Region X,Combined Effects,1.0,2.0,12081.0,12.0,17.0,29.0,4535019.28,31826726.84,right_only,impact_only,False,True
2024,BUTCHOY AND CARINA,REGION XI,,,,,,,,,,,,Butchoy and Carina,Region XI,Combined Effects,1.0,0.0,1804.0,14.0,46.0,60.0,0.0,0.0,right_only,impact_only,False,True
2024,BUTCHOY AND CARINA,REGION XII,,,,,,,,,,,,Butchoy and Carina,Region XII,Combined Effects,0.0,0.0,268142.0,25.0,15.0,40.0,0.0,247891860.99,right_only,impact_only,False,True
2024,CARINA,CAR,294.0,22.25,2252251927.54,59468890.36000002,0.0264041911265913,Carina,CAR,2024-07-19,Benguet,Baguio City,1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,CARINA,NCR,323.9,22.25,39504438444.78999,760067076.5300002,0.0192400425484403,Carina,NCR,2024-07-19,Metro Manila,"Science Garden, Quezon City",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,CARINA,REGION II,1371.2,89.0,12544068853.16,108314148.42,0.0305864114043272,Carina,Region II,2024-07-19,Cagayan,"Aparri, Cagayan",4.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,CARINA,REGION III,282.7,22.25,4156170811.39,21660736.70000001,0.0052117051206458,Carina,Region III,2024-07-19,Zambales,"Cubi Pt., Subic",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,CARINA,REGION IV A,262.0,22.25,5876586335.99,126672158.4,0.0215553981780581,Carina,Region IV-A,2024-07-19,Rizal,"Tanay, Rizal",1.0,,,,,,,,,,,,left_only,info_infra_only,True,False
2024,ENTENG,CALABARZON,,,,,,,,,,,,Enteng,CALABARZON,Severe Tropical Storm,0.0,0.0,143562.0,400.0,866.0,1266.0,87333700.0,0.0,right_only,impact_only,False,True
2024,ENTENG,CAR,,,,,,,,,,,,Enteng,CAR,Severe Tropical Storm,0.0,0.0,4676.0,0.0,9.0,9.0,50355028.65,0.0,right_only,impact_only,False,True
