Cyclone Name,Region,Year,Category,Deaths,Injuries,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP)
Jolina,Region IV-B,2021,Typhoon,0,0,0,8,1294,1302,0.0,0.0
Jolina,Region V,2021,Typhoon,20,33,0,327,1708,2035,0.0,1349221036.1
Jolina,Region VI,2021,Typhoon,0,0,15470,2,8,10,0.0,0.0
Jolina,Region VIII,2021,Typhoon,0,0,0,569,9919,10488,63676053.0,0.0
Kiko,Region III,2021,Super Typhoon,0,0,20568,0,0,0,0.0,0.0
Kiko,Region IV-B,2021,Super Typhoon,0,27,338,0,0,0,0.0,37354667.52
Lannie,Region IV-B,2021,Tropical Depression,0,0,300,0,0,0,0.0,0.0
Lannie,Region VI,2021,Tropical Depression,1,0,25386,4,17,21,0.0,12225109.47
Lannie,Region VII,2021,Tropical Depression,1,0,0,0,0,0,0.0,0.0
Lannie,Region VIII,2021,Tropical Depression,0,0,0,0,0,0,0.0,0.0
Maring,CALABARZON,2021,Severe Tropical Storm,0,0,0,2,0,2,0.0,0.0
Maring,CAR,2021,Severe Tropical Storm,7,2,130655,57,888,945,104070238.36,426997123.36
Maring,CARAGA,2021,Severe Tropical Storm,0,0,0,8,45,53,1980000.0,960550.0
Maring,Region I,2021,Severe Tropical Storm,26,3,429089,141,5930,6071,911008500.0,1392604998.65
Maring,Region II,2021,Severe Tropical Storm,2,0,51861,6,6,12,37876550.0,276832083.36
Maring,Region III,2021,Severe Tropical Storm,0,0,0,28,1,29,0.0,42060692.88
Maring,Region IV-B,2021,Severe Tropical Storm,5,0,0,52,60,112,980000.0,33504242.84
Maring,Region VI,2021,Severe Tropical Storm,0,0,0,23,152,175,500000.0,70854.06
Nando,Region II,2021,Tropical Depression,0,0,0,0,0,0,0.0,0.0
Odette,CARAGA,2021,Super Typhoon,71,0,106562,241,9928,10169,12823973975.0,742395847.0
Odette,Region IV-B,2021,Super Typhoon,25,0,62264,6,23,29,1482902055.0,2257525328.0
Odette,Region VI,2021,Super Typhoon,54,0,57866,18,3749,3767,0.0,2771875553.0
Odette,Region VII,2021,Super Typhoon,220,1371,327008,56,5381,5437,2155000.0,618141700.0
Odette,Region VIII,2021,Super Typhoon,26,0,173053,204,7270,7474,173400000.0,1166744446.0
Odette,Region X,2021,Super Typhoon,8,0,4046,7,201,208,244888000.0,98777609.0
Paolo,Region VIII,2021,Tropical Storm,0,0,0,0,0,0,0.0,0.0
Quedan,Region II,2021,Tropical Storm,0,0,0,0,0,0,0.0,0.0
Agaton,BARMM,2022,Tropical Storm,0,0,0,0,0,0,0.0,874000.0
Agaton,CARAGA,2022,Tropical Storm,0,0,0,2,2,4,0.0,0.0
Agaton,Region V,2022,Tropical Storm,0,0,0,0,5,5,0.0,0.0
Agaton,Region VI,2022,Tropical Storm,22,0,0,1907,16287,18194,0.0,1320860740.06
Agaton,Region VII,2022,Tropical Storm,0,0,0,27,206,233,0.0,0.0
Agaton,Region VIII,2022,Tropical Storm,122,0,0,376,632,1008,0.0,942895292.02
Agaton,Region X,2022,Tropical Storm,0,2,0,2,45,47,0.0,8000.0
Agaton,Region XI,2022,Tropical Storm,0,0,0,0,3,3,0.0,0.0
Agaton,Region XII,2022,Tropical Storm,0,4,0,5,41,46,709500.0,0.0
Ester,Region V,2022,Tropical Depression,0,0,10,0,23,33,0.0,0.0
Ester,Region VI,2022,Tropical Depression,0,0,1,0,1,2,0.0,5453240.0
Florita,CALABARZON,2022,Severe Tropical Storm,0,0,0,0,0,0,0.0,0.0
Florita,CAR,2022,Severe Tropical Storm,1,0,35231,1,0,1,0.0,0.0
Florita,NCR,2022,Severe Tropical Storm,0,0,7866,0,0,0,0.0,0.0
Florita,Region I,2022,Severe Tropical Storm,1,0,127122,0,24,24,546700000.0,13028205.0
Florita,Region II,2022,Severe Tropical Storm,1,3,95618,3,44,47,24400000.0,1831146406.66
Florita,Region III,2022,Severe Tropical Storm,0,0,0,10,13,23,0.0,0.0
Henry,CAR,2022,Super Typhoon,0,0,0,0,12,12,61372000.0,0.0
Henry,Region I,2022,Super Typhoon,0,0,0,0,0,0,0.0,0.0
Henry,Region III,2022,Super Typhoon,0,0,0,0,0,0,0.0,0.0
Karding,CALABARZON,2022,Super Typhoon,4,2,178660,0,0,0,0.0,240800000.0
Karding,CAR,2022,Super Typhoon,0,0,1827,0,12,12,19897400.0,2200000.0
Karding,Region I,2022,Super Typhoon,0,0,4041,0,0,0,950000.0,60100000.0
Karding,Region II,2022,Super Typhoon,0,0,3220,0,0,0,280297910.0,171000000.0
Karding,Region III,2022,Super Typhoon,5,66,1258100,0,0,0,0.0,2731800000.0
Karding,Region IV-B,2022,Super Typhoon,0,0,1818,0,0,0,3000000.0,0.0
Karding,Region V,2022,Super Typhoon,0,0,3983,0,0,0,100000.0,53300000.0
Karding,Region VI,2022,Super Typhoon,0,0,0,0,0,0,0.0,9700000.0
Maymay,CALABARZON,2022,Tropical Depression,0,0,0,0,0,0,0.0,0.0
Maymay,CAR,2022,Tropical Depression,0,0,1803,0,0,0,0.0,0.0
Maymay,Region II,2022,Tropical Depression,1,0,41996,0,0,0,14252147.37,114350000.0
Neneng,CAR,2022,Severe Tropical Storm,0,0,6154,1,9,10,22655000.0,3921190.0
Neneng,Region I,2022,Severe Tropical Storm,0,0,27485,9,150,159,372800000.0,2185138.0
Neneng,Region II,2022,Severe Tropical Storm,0,0,157691,49,61,110,55260000.0,497548466.38
