antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Rain_High', 'Outcome_High_Damage'})",frozenset({'Outcome_High_Mortality'}),0.2226148409893993,0.20848056537102475,0.07773851590106007,0.3492063492063492,1.6750067258541832,1.0,0.03132764799160933,1.2162371800396448,0.5183884297520661,0.21999999999999997,0.17779195011337864,0.3610438525692763
frozenset({'Rain_High'}),"frozenset({'Inefficient_Spending', 'Outcome_High_Damage', 'Outcome_High_Mortality'})",0.49823321554770317,0.0636042402826855,0.053003533568904596,0.10638297872340426,1.6725768321513004,1.0,0.02131378841039344,1.0478714453979472,0.8014084507042255,0.10416666666666669,0.045684464070654365,0.4698581560283689
"frozenset({'Rain_High', 'Outcome_High_Damage', 'Inefficient_Spending'})",frozenset({'Outcome_High_Mortality'}),0.15547703180212014,0.20848056537102475,0.053003533568904596,0.34090909090909094,1.6352080123266564,1.0,0.020589594076589793,1.2009260387474108,0.45997210599721056,0.17045454545454544,0.16730925324675328,0.2975731895223421
frozenset({'Outcome_High_Mortality'}),"frozenset({'Rain_High', 'Outcome_High_Damage', 'Inefficient_Spending'})",0.20848056537102475,0.15547703180212014,0.053003533568904596,0.2542372881355932,1.6352080123266564,1.0,0.020589594076589793,1.1324285255380662,0.4907738095238095,0.17045454545454544,0.11694206084674845,0.2975731895223421
"frozenset({'Budget_Low', 'Outcome_High_Mortality'})",frozenset({'Outcome_High_Damage'}),0.10600706713780919,0.38869257950530034,0.06713780918727916,0.6333333333333334,1.6293939393939396,1.0,0.025933648815692545,1.6672020558946359,0.4320782192635739,0.15702479338842978,0.40019267822736043,0.40303030303030307
frozenset({'Outcome_High_Damage'}),"frozenset({'Budget_Low', 'Outcome_High_Mortality'})",0.38869257950530034,0.10600706713780919,0.06713780918727916,0.17272727272727276,1.6293939393939396,1.0,0.025933648815692545,1.0806507979652857,0.6318831761484637,0.15702479338842978,0.07463169241825371,0.40303030303030307
frozenset({'Outcome_High_Damage'}),frozenset({'Outcome_High_Mortality'}),0.38869257950530034,0.20848056537102475,0.13074204946996468,0.3363636363636364,1.613405238828968,1.0,0.04970720073917767,1.1927005179340724,0.6219340728011248,0.28030303030303033,0.1615665584415585,0.4817411402157165
frozenset({'Outcome_High_Mortality'}),frozenset({'Outcome_High_Damage'}),0.20848056537102475,0.38869257950530034,0.13074204946996468,0.6271186440677966,1.6134052388289677,1.0,0.04970720073917767,1.6394153549630581,0.4803330115830116,0.28030303030303033,0.3900264524346037,0.4817411402157165
frozenset({'Outcome_High_Damage'}),"frozenset({'Inefficient_Spending', 'Outcome_High_Mortality'})",0.38869257950530034,0.10600706713780919,0.0636042402826855,0.16363636363636364,1.5436363636363635,1.0,0.022400079911098894,1.068904593639576,0.5761078998073217,0.14754098360655737,0.06446280991735537,0.3818181818181817
"frozenset({'Inefficient_Spending', 'Outcome_High_Mortality'})",frozenset({'Outcome_High_Damage'}),0.10600706713780919,0.38869257950530034,0.0636042402826855,0.5999999999999999,1.5436363636363633,1.0,0.022400079911098894,1.5282685512367487,0.3939393939393938,0.14754098360655737,0.34566473988439284,0.3818181818181817
frozenset({'Rain_High'}),"frozenset({'Inefficient_Spending', 'Outcome_High_Damage'})",0.49823321554770317,0.2049469964664311,0.15547703180212014,0.3120567375886525,1.5226216678894595,1.0,0.0533656307358064,1.1556956030745693,0.6840588988476309,0.2838709677419355,0.13472025216706068,0.5353387136219124
frozenset({'Outcome_High_Mortality'}),"frozenset({'Inefficient_Spending', 'Outcome_High_Damage'})",0.20848056537102475,0.2049469964664311,0.0636042402826855,0.30508474576271183,1.4886031560490938,1.0,0.020876774588270537,1.1441006636214772,0.4146825396825395,0.18181818181818177,0.1259510357815442,0.30771478667445934
"frozenset({'Inefficient_Spending', 'Outcome_High_Damage'})",frozenset({'Outcome_High_Mortality'}),0.2049469964664311,0.20848056537102475,0.0636042402826855,0.31034482758620685,1.4886031560490938,1.0,0.020876774588270537,1.147703180212014,0.4128395061728393,0.18181818181818177,0.12869458128078812,0.30771478667445934
frozenset({'Inefficient_Spending'}),"frozenset({'Rain_High', 'Outcome_High_Damage'})",0.49469964664310956,0.2226148409893993,0.15547703180212014,0.3142857142857143,1.4117913832199547,1.0,0.04534954862715228,1.1336866902237925,0.5772409408773043,0.27672955974842767,0.11792207792207791,0.5063492063492063
frozenset({'Inefficient_Spending'}),"frozenset({'Rain_High', 'Outcome_High_Damage', 'Outcome_High_Mortality'})",0.49469964664310956,0.07773851590106007,0.053003533568904596,0.10714285714285714,1.3782467532467533,1.0,0.014546317222090425,1.0329328621908127,0.543123543123543,0.10204081632653061,0.031882868089764635,0.3944805194805195
frozenset({'Inefficient_Spending'}),"frozenset({'Rain_High', 'Outcome_High_Mortality'})",0.49469964664310956,0.10247349823321555,0.06713780918727916,0.13571428571428573,1.3243842364532021,1.0,0.016444205821024113,1.0384604152673538,0.4847258005152742,0.12666666666666668,0.03703599550056245,0.39544334975369455
"frozenset({'Rain_High', 'Inefficient_Spending'})","frozenset({'Outcome_High_Damage', 'Outcome_High_Mortality'})",0.31448763250883394,0.13074204946996468,0.053003533568904596,0.16853932584269662,1.2890980868508957,1.0,0.011886775961742556,1.0454588864482857,0.3271477663230239,0.13513513513513511,0.04348223257513472,0.286972365624051
"frozenset({'Rain_High', 'Inefficient_Spending'})",frozenset({'Outcome_High_Damage'}),0.31448763250883394,0.38869257950530034,0.15547703180212014,0.4943820224719101,1.2719101123595506,1.0,0.03323802269974653,1.2090302316450727,0.3118556701030928,0.2838709677419355,0.17289082288757548,0.44719101123595506
frozenset({'Rain_High'}),"frozenset({'Inefficient_Spending', 'Outcome_High_Mortality'})",0.49823321554770317,0.10600706713780919,0.06713780918727916,0.1347517730496454,1.271158392434988,1.0,0.014321567256427227,1.0332213404390893,0.42512972572275765,0.12500000000000003,0.03215316906343733,0.3840425531914894
frozenset({'Rain_High'}),"frozenset({'Outcome_High_Damage', 'Outcome_High_Mortality'})",0.49823321554770317,0.13074204946996468,0.07773851590106007,0.15602836879432624,1.1934061721295763,1.0,0.012598484186342684,1.029961101048193,0.32298335467349526,0.14102564102564102,0.029089546214611073,0.3753114816944604
frozenset({'Rain_High'}),frozenset({'Outcome_High_Damage'}),0.49823321554770317,0.38869257950530034,0.2226148409893993,0.4468085106382979,1.1495164410058027,1.0,0.028955287242942246,1.1050557216634957,0.25922199865861856,0.3351063829787234,0.09506825728692665,0.5097678916827854
