Typhoon,Year,Location,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Province,Region
Goring,2023,"Itbayat, Batanes",231.16666666666666,26.0,Batanes,Region II
Hanna,2023,"Science Garden, Quezon City",152.5,18.0,Metro Manila,NCR
Hanna,2023,"Abucay, Bataan",139.0,18.0,Bataan,Region III
Hanna,2023,"Dagupan City, Pangasinan",130.7,18.0,Pangasinan,Region I
Hanna,2023,"Basco, Batanes",155.98333333333332,22.0,Batanes,Region II
Hanna,2023,"Calayan, Cagayan",155.98333333333332,17.0,Cagayan,Region II
Hanna,2023,"Itbayat, Batanes",155.98333333333332,15.0,Batanes,Region II
Jenny,2023,"Itbayat, Batanes",273.0,24.0,Batanes,Region II
Jenny,2023,"Subic Bay International Airport, Subic Bay",150.2,26.0,Zambales,Region III
Jenny,2023,"Basco, Batanes",134.0,30.0,Batanes,Region II
Jenny,2023,"Calayan, Cagayan",203.5,24.0,Cagayan,Region II
Kabayan,2023,"Surigao City, Surigao Del Norte",184.0,21.0,Surigao del Norte,Region XIII
Kabayan,2023,"Maasin City, Southern Leyte",98.8,18.5,Southern Leyte,Region VIII
Kabayan,2023,"Casiguran, Aurora",97.0,16.166666666666668,Aurora,Region III
Kabayan,2023,"Guiuan, Eastern Samar",98.8,21.0,Eastern Samar,Region VIII
Kabayan,2023,"Tacloban City, Leyte",98.8,16.0,Leyte,Region VIII
Kabayan,2023,"Mactan-Cebu International Airport, Lapu-Lapu City",114.95,15.0,Cebu,Region VII
Falcon,2019,"Laoag City, Ilocos Norte",181.8,19.5,Ilocos Norte,Region I
Falcon,2019,"Juban, Sorsogon",145.2,19.5,Sorsogon,Region V
Falcon,2019,"Coron, Palawan",133.4,19.5,Palawan,Region IV-B
Falcon,2019,"Basco, Batanes",209.5809523809524,25.0,Batanes,Region II
Falcon,2019,"Aparri, Cagayan",209.5809523809524,20.0,Cagayan,Region II
Falcon,2019,"Baler, Aurora",251.66666666666666,18.0,Aurora,Region III
Hanna,2019,"Coron, Palawan",221.2,18.0,Palawan,Region IV-B
Hanna,2019,"Subic Bay International Airport, Morong, Bataan",153.5,18.0,Bataan,Region III
Hanna,2019,"Iba, Zambales",139.0,18.0,Zambales,Region III
Ineng,2019,"Laoag City, Ilocos Norte",471.8,21.666666666666668,Ilocos Norte,Region I
Ineng,2019,"Sinait, Ilocos Sur",188.4,21.666666666666668,Ilocos Sur,Region I
Ineng,2019,"Aparri, Cagayan",146.4,13.0,Cagayan,Region II
Ineng,2019,"Basco, Batanes",146.4,30.0,Batanes,Region II
Ineng,2019,"Baler, Aurora",238.25,22.0,Aurora,Region III
Kabayan,2019,"Sinait, Ilocos Sur",156.8,16.166666666666668,Ilocos Sur,Region I
Kabayan,2019,"Ambulong, Tanauan City, Batangas",96.4,16.166666666666668,Batangas,Region IV-A
Kabayan,2019,"Port Area, Manila",89.0,14.0,Metro Manila,NCR
Kabayan,2019,"Basco, Batanes",114.95,16.0,Batanes,Region II
Kabayan,2019,"Itbayat, Batanes",114.95,12.0,Batanes,Region II
Kabayan,2019,"Aparri, Cagayan",114.95,12.0,Cagayan,Region II
Nimfa,2019,"Subic Bay International Airport, Morong, Bataan",231.5,22.81852984927822,Bataan,Region III
Nimfa,2019,"Morong, Bataan",231.5,22.81852984927822,Bataan,Region III
Nimfa,2019,"Tanay, Rizal",111.4,22.81852984927822,Rizal,Region IV-A
Nimfa,2019,"Iba, Zambales",107.7,22.81852984927822,Zambales,Region III
Quiel,2019,"Aparri, Cagayan",366.6,22.81852984927822,Cagayan,Region II
Quiel,2019,"Sinait, Ilocos Sur",83.9,22.81852984927822,Ilocos Sur,Region I
Quiel,2019,"Subic Bay International Airport, Morong, Bataan",83.5,22.81852984927822,Bataan,Region III
Tisoy,2019,"Catarman, Northern Samar",605.5,38.0,Northern Samar,Region VIII
Tisoy,2019,"Juban, Sorsogon",298.8,40.0,Sorsogon,Region V
Tisoy,2019,"Virac, Catanduanes",247.4,40.0,Catanduanes,Region V
Tisoy,2019,"Legazpi City, Albay",273.1,40.0,Albay,Region V
Tisoy,2019,"Romblon, Romblon",356.20000000000005,40.0,Romblon,Region IV-B
Ursula,2019,"San Jose, Occidental Mindoro",217.2,42.0,Occidental Mindoro,Region IV-B
Ursula,2019,"Roxas City, Capiz",155.0,43.0,Capiz,Region VI
Ursula,2019,"Tacloban City, Leyte",143.2,43.0,Leyte,Region VIII
Ursula,2019,"Guiuan, Eastern Samar",143.2,50.0,Eastern Samar,Region VIII
Aghon,2024,"Mulanay, Quezon",229.4,15.0,Quezon,Region IV-A
Aghon,2024,"Tayabas, Quezon",226.5,22.0,Quezon,Region IV-A
Aghon,2024,"Sinait, Ilocos Sur",176.5,16.333333333333332,Ilocos Sur,Region I
Aghon,2024,"Alabat, Quezon",152.2,17.0,Quezon,Region IV-A
Aghon,2024,"Infanta, Quezon",147.3,14.0,Quezon,Region IV-A
Aghon,2024,"Guiuan, Eastern Samar",186.37999999999997,20.0,Eastern Samar,Region VIII
Aghon,2024,"Baler, Aurora",186.37999999999997,16.0,Aurora,Region III
Aghon,2024,"Surigao City, Surigao del Sur",186.37999999999997,15.0,Surigao del Sur,Region XIII
Aghon,2024,"Tacloban City, Leyte",186.37999999999997,14.0,Leyte,Region VIII
Aghon,2024,"Borongan City, Eastern Samar",186.37999999999997,14.0,Eastern Samar,Region VIII
Carina,2024,"Calayan, Cagayan",342.8,26.0,Cagayan,Region II
Carina,2024,"Science Garden, Quezon City",323.9,15.861111111111112,Metro Manila,NCR
Carina,2024,Baguio City,294.0,15.861111111111112,Benguet,CAR
Carina,2024,"Cubi Pt., Subic",282.7,14.333333333333334,Zambales,Region III
Carina,2024,"Tanay, Rizal",262.0,15.861111111111112,Rizal,Region IV-A
Carina,2024,"Basco, Batanes",244.10000000000002,28.0,Batanes,Region II
Carina,2024,"Itbayat, Batanes",244.10000000000002,20.0,Batanes,Region II
Carina,2024,"Aparri, Cagayan",244.10000000000002,15.0,Cagayan,Region II
Enteng,2024,"Daet, Camarines Norte",258.9,18.0,Camarines Norte,Region V
Enteng,2024,"Iba, Zambales",256.6,20.5,Zambales,Region III
Enteng,2024,"Muñoz City, Nueva Ecija",217.8,20.5,Nueva Ecija,Region III
Enteng,2024,"Infanta, Quezon",216.0,15.0,Quezon,Region IV-A
Enteng,2024,"Alabat, Quezon",210.5,15.0,Quezon,Region IV-A
Enteng,2024,"Casiguran, Aurora",215.80000000000004,22.0,Aurora,Region III
Enteng,2024,"Baler, Aurora",215.80000000000004,19.0,Aurora,Region III
Enteng,2024,"Ninoy Aquino International Airport, Parañaque City",89.2,18.0,Metro Manila,NCR
Enteng,2024,"Virac, Catanduanes",258.9,18.0,Catanduanes,Region V
Enteng,2024,"Mulanay, Quezon",213.25,15.0,Quezon,Region IV-A
Enteng,2024,"Echague, Isabela",175.353125,15.0,Isabela,Region II
Enteng,2024,"Tuguegarao City, Cagayan",175.353125,14.0,Cagayan,Region II
Enteng,2024,"Science Garden, Quezon City",89.2,14.0,Metro Manila,NCR
Enteng,2024,"Guiuan, Eastern Samar",175.353125,14.0,Eastern Samar,Region VIII
Ferdie,2024,"Dumangas, Iloilo",240.0,22.81852984927822,Iloilo,Region VI
Ferdie,2024,"San Jose, Occidental Mindoro",178.6,22.81852984927822,Occidental Mindoro,Region IV-B
Ferdie,2024,"La Carlota City, Negros Occidental",158.2,22.81852984927822,Negros Occidental,Region VI
Ferdie,2024,"Tayabas, Quezon",148.1,22.81852984927822,Quezon,Region IV-A
Ferdie,2024,"Pili, Camarines Sur",127.2,22.81852984927822,Camarines Sur,Region V
Gener,2024,"Dumangas, Iloilo",156.0,12.0,Iloilo,Region VI
Gener,2024,"La Carlota City, Negros Oriental",134.9,12.0,Negros Oriental,Region VII
Gener,2024,"San Jose, Occidental Mindoro",108.0,12.0,Occidental Mindoro,Region IV-B
Gener,2024,"Dagupan City, Pangasinan",99.1,12.0,Pangasinan,Region I
Gener,2024,"Calayan, Cagayan",89.5,17.0,Cagayan,Region II
Gener,2024,"Baler, Aurora",117.5,13.0,Aurora,Region III
Gener,2024,"Iba, Zambales",117.5,10.0,Zambales,Region III
Gener,2024,"Infanta, Quezon",117.5,8.0,Quezon,Region IV-A
Helen,2024,"Dumangas, Iloilo",156.0,22.81852984927822,Iloilo,Region VI
Helen,2024,"Dagupan City, Pangasinan",99.1,22.81852984927822,Pangasinan,Region I
Helen,2024,"Coron, Palawan",86.1,22.81852984927822,Palawan,Region IV-B
Helen,2024,"Abucay, Bataan",84.7,22.81852984927822,Bataan,Region III
Helen,2024,"Tagum City, Davao del Norte",70.6,22.81852984927822,Davao del Norte,Region XI
Igme,2024,"Iba, Zambales",174.0,22.81852984927822,Zambales,Region III
Igme,2024,"Tayabas, Quezon",97.1,22.81852984927822,Quezon,Region IV-A
Igme,2024,"Abucay, Bataan",78.9,22.81852984927822,Bataan,Region III
Igme,2024,"Cubi Pt., Zambales",78.5,22.81852984927822,Zambales,Region III
Igme,2024,"Aparri, Cagayan",78.0,22.81852984927822,Cagayan,Region II
Julian,2024,"Basco, Batanes",728.0,66.0,Batanes,Region II
Julian,2024,"Laoag City, Ilocos Norte",481.6,18.0,Ilocos Norte,Region I
Julian,2024,"Calayan, Cagayan",201.5,42.0,Cagayan,Region II
Julian,2024,"Batac, Ilocos Norte",193.4,18.0,Ilocos Norte,Region I
Julian,2024,"Sinait, Ilocos Sur",162.4,18.0,Ilocos Sur,Region I
Julian,2024,"Itbayat, Batanes",464.75,50.0,Batanes,Region II
Julian,2024,"Aparri, Cagayan",464.75,16.0,Cagayan,Region II
Julian,2024,"Baler, Aurora",385.2,16.0,Aurora,Region III
Kristine,2024,"Daet, Camarines Norte",528.5,25.125,Camarines Norte,Region V
Kristine,2024,"Legazpi City, Albay",431.0,25.125,Albay,Region V
Kristine,2024,"Juban, Sorsogon",406.0,25.125,Sorsogon,Region V
Kristine,2024,"Ambulong, Tanauan City, Batangas",391.3,25.0,Batangas,Region IV-A
Kristine,2024,"Mulanay, Quezon",384.6,25.0,Quezon,Region IV-A
Kristine,2024,"Calayan, Cagayan",428.28000000000003,28.0,Cagayan,Region II
Kristine,2024,"Itbayat, Batanes",428.28000000000003,26.0,Batanes,Region II
Kristine,2024,"Cubi Pt., Subic Bay",428.28000000000003,26.0,Zambales,Region III
Kristine,2024,"Aparri, Cagayan",428.28000000000003,25.0,Cagayan,Region II
Kristine,2024,"Abucay, Bataan",428.28000000000003,24.0,Bataan,Region III
Kristine,2024,Baguio City,428.28000000000003,22.0,Benguet,CAR
Marce,2024,"Calayan, Cagayan",242.6,33.0,Cagayan,Region II
Marce,2024,"Aparri, Cagayan",131.0,42.0,Cagayan,Region II
Marce,2024,"Laoag City, Ilocos Norte",85.9,30.0,Ilocos Norte,Region I
Marce,2024,"Sinait, Ilocos Sur",84.4,30.0,Ilocos Sur,Region I
Marce,2024,"Tuguegarao City, Cagayan",81.5,16.0,Cagayan,Region II
Marce,2024,"Itbayat, Batanes",151.70000000000002,26.0,Batanes,Region II
Ofel,2024,"Virac, Catanduanes",225.8,23.571428571428573,Catanduanes,Region V
Ofel,2024,"Basco, Batanes",149.5,25.0,Batanes,Region II
Ofel,2024,"Calayan, Cagayan",142.7,38.0,Cagayan,Region II
Ofel,2024,"Daet, Camarines Norte",140.0,23.571428571428573,Camarines Norte,Region V
Ofel,2024,"Echague, Isabela",121.3,25.0,Isabela,Region II
Ofel,2024,"Aparri, Cagayan",137.83333333333334,25.0,Cagayan,Region II
Ofel,2024,"Tuguegarao City, Cagayan",137.83333333333334,19.0,Cagayan,Region II
Ofel,2024,"Itbayat, Batanes",137.83333333333334,18.0,Batanes,Region II
Ofel,2024,"Baler, Aurora",149.1,15.0,Aurora,Region III
Pepito,2024,"Casiguran, Aurora",255.0,40.0,Aurora,Region III
Pepito,2024,"Virac, Catanduanes",225.8,39.0,Catanduanes,Region V
Pepito,2024,"La Trinidad, Benguet",200.5,19.0,Benguet,CAR
Pepito,2024,Baguio City,192.0,19.0,Benguet,CAR
Pepito,2024,"Muñoz City, Nueva Ecija",174.4,30.166666666666668,Nueva Ecija,Region III
Pepito,2024,"Baler, Aurora",174.46666666666667,58.0,Aurora,Region III
Pepito,2024,"Bayombong, Nueva Vizcaya",165.01354166666667,26.0,Nueva Vizcaya,Region II
